"Expression","Références ?"
"lâche","CPO.22A1"
"lascar","7BC.61A4s"
"lépidoptère","ATS.48C4"
"logarithme","eOLU.5C3"
"loup-garou à la graisse de renoncule de mille tonnerres de Brest","TAT.e35B2"
