"Expression","Références ?"
"iconoclaste","CPO.37D3s, 56B3 -- TRR.29A1, 29C3s -- 7BC.54A3s, 59C3s -- eOML.55C2 -- CES.46B2bs"
"Inca de carnaval","eTSO.47B2s"
"individou de général de tonnerre de Brest","e7BC.14D4"
"invertébré","CPO.57B2"
"isotope",""
"ivrogne",""
