"Expression","Références ?"
"Zapotèques (voir : bande de zapotèques)","TSO.47C1"
"zèbre","7BC.40D2—BCF.21B1s"
"zigomar","SLI.29B1s"
"zouave","CPO.56B2—OLU.2C1, 31B1, 34C2, 39B4, 49C2 -- ATS.15D1 -- TAT.15F1, 36C3s, 42A3, e62B3—BCF.1C1s -- 714.7C1"
"zouave interplanétaire","eOML.62C3"
"zouave à la noix de coco",""
"Zoulou","CPO.38.A2s, 56A2—7BC.55B3s -- OLU.9B1"
