"Expression","Références ?"
"diable","OLU.31B1, 34C4"
"diable de —","CPO.30D1"
"diable de zouave",""
"diable les emporte (le -)","BCF.28C1"
"diable vous étripatouille (que le -)","CES.44A1"
"diablesse","BCF.2C3"
"Dieu soit loué","TRR.20C1"
"diplodocus","TAT.26D1 -- e714.35D1"
"doryphore","CPO.56B2, 38A2s -- TSO.30A2, 48A1s"
"doux agneaux","OML.47C1"
"dynamiteur","EMY.16C2"
