"Expression","Références ?"
"rapace",""
"rat","CES.46A3s"
"ravachol","BCF.10B2—714.21D3s"
"renégat","EMY.40D3s—CPO.55D2"
"rhizopode","EMY.41A1s"
"rocaille de tonnerre de Brest","TAT.40B2"
"rocambole","TAT.26C2"
