"Expression","Références ?"
"jet d'eau ambulant","TSO.21B3s"
"jeune chenapan","CES.6C3"
"jeune impertinent","TAT.54A3"
"jocrisse","CES.49B3h"
"judas","EMY.30A1, 40D3—OML.46C1"
"jus de réglisse","CPO.57B2"
