"Expression","Références ?"
"olibrius (voir aussi : bougre d'olibrius)","7BC.59D2s -- TSO.3A1—PON.62A2—OLU.1C1, e36B2b"
"ophicléide","EMY.30A1s -- 714.23A1"
"ornithorynque (voir aussi : petit ornithorynque)","CES.49B3h"
"oryctérope (voir aussi : sombre oryctérope)","PON.57D3—PIC.2A1"
"ostrogoth","PIC.10C3, CES.49C3h"
"ours mal léché","TAT.e54B1"
