"Expression","Références ?"
"naufrageur","EMY.16C2, 40D3s -- CES.44A1s"
"négrier","SLI.29B2s, CES.49C4"
"noix de coco","CPO.56B2"
"nom d'une pipe","EMY.20A1"
"nyctalope","7BC.55B2s"
